id;name;url;nodes
8126;Блузки и рубашки;https://www.wildberries.by/catalog?category=8126;bl_shirts
8127;Брюки;https://www.wildberries.by/catalog?category=8127;pants
63010;Верхняя одежда;https://www.wildberries.by/catalog?category=63010;outwear1
8130;Джемперы, водолазки и кардиганы;https://www.wildberries.by/catalog?category=8130;jumpers_cardigans
8131;Джинсы;https://www.wildberries.by/catalog?category=8131;jeans
8133;Комбинезоны;https://www.wildberries.by/catalog?category=8133;overalls
8134;Костюмы;https://www.wildberries.by/catalog?category=8134;costumes
9411;Лонгсливы;https://www.wildberries.by/catalog?category=9411;sweatshirts_hoodies
8136;Пиджаки, жилеты и жакеты;https://www.wildberries.by/catalog?category=8136;blazers_wamuses
8137;Платья и сарафаны;https://www.wildberries.by/catalog?category=8137;dresses
8140;Толстовки, свитшоты и худи;https://www.wildberries.by/catalog?category=8140;sweatshirts_hoodies
8141;Туники;https://www.wildberries.by/catalog?category=8141;sweatshirts_hoodies
8142;Футболки и топы;https://www.wildberries.by/catalog?category=8142;tops_tshirts1
128996;Халаты;https://www.wildberries.by/catalog?category=128996;women_bathrobes
10567;Шорты;https://www.wildberries.by/catalog?category=10567;shorts
8143;Юбки;https://www.wildberries.by/catalog?category=8143;skirts
128296;Аксессуары;https://www.wildberries.by/catalog?category=128296;women_underwear2
10520;Бесшовное;https://www.wildberries.by/catalog?category=10520;women_underwear1
8161;Боди и корсеты;https://www.wildberries.by/catalog?category=8161;women_underwear1
8162;Бюстгальтеры и бюстье;https://www.wildberries.by/catalog?category=8162;women_underwear1
8163;Колготки и чулки;https://www.wildberries.by/catalog?category=8163;women_underwear2
8167;Комбинации и неглиже;https://www.wildberries.by/catalog?category=8167;women_underwear1
8164;Комплекты белья;https://www.wildberries.by/catalog?category=8164;women_underwear2
8165;Корректирующее белье;https://www.wildberries.by/catalog?category=8165;women_underwear1
8166;Майки;https://www.wildberries.by/catalog?category=8166;women_underwear1
8172;Термобелье;https://www.wildberries.by/catalog?category=8172;women_underwear2
8173;Трусы;https://www.wildberries.by/catalog?category=8173;women_underwear1
335;Белье;https://www.wildberries.by/catalog?category=335;women_bigsize1
336;Блузки, рубашки, туники;https://www.wildberries.by/catalog?category=336;women_bigsize1
337;Верхняя одежда;https://www.wildberries.by/catalog?category=337;women_bigsize1
338;Джинсы, брюки;https://www.wildberries.by/catalog?category=338;women_bigsize1
339;Жилеты;https://www.wildberries.by/catalog?category=339;women_bigsize1
340;Костюмы;https://www.wildberries.by/catalog?category=340;women_bigsize1
341;Купальники;https://www.wildberries.by/catalog?category=341;women_bigsize1
342;Одежда для дома;https://www.wildberries.by/catalog?category=342;women_bigsize2
343;Пиджаки, жакеты;https://www.wildberries.by/catalog?category=343;women_bigsize2
344;Платья, сарафаны;https://www.wildberries.by/catalog?category=344;women_bigsize2
346;Пуловеры, кофты, свитеры;https://www.wildberries.by/catalog?category=346;women_bigsize2
347;Топы, футболки;https://www.wildberries.by/catalog?category=347;women_bigsize2
348;Юбки;https://www.wildberries.by/catalog?category=348;women_bigsize2
350;Аксессуары;https://www.wildberries.by/catalog?category=350;moms1
351;Белье и купальники;https://www.wildberries.by/catalog?category=351;moms1
354;Блузки, рубашки;https://www.wildberries.by/catalog?category=354;moms1
355;Брюки, джинсы;https://www.wildberries.by/catalog?category=355;moms1
356;Верхняя одежда;https://www.wildberries.by/catalog?category=356;moms1
357;Костюмы, комбинезоны;https://www.wildberries.by/catalog?category=357;moms2
358;Одежда для дома;https://www.wildberries.by/catalog?category=358;moms2
359;Одежда для кормящих мам;https://www.wildberries.by/catalog?category=359;moms3
360;Пиджаки, жилеты;https://www.wildberries.by/catalog?category=360;moms2
361;Платья, сарафаны;https://www.wildberries.by/catalog?category=361;moms2
362;Пуловеры, джемперы;https://www.wildberries.by/catalog?category=362;moms2
9214;Собираемся в роддом;https://www.wildberries.by/catalog?category=9214;moms2
